,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
0.0,0.263215,0.25946,0.238187,0.239138
0.1,0.287373,0.273491,0.224805,0.214331
0.2,0.305192,0.290129,0.209373,0.195306
0.3,0.318747,0.306662,0.195391,0.1792
0.4,0.327572,0.323002,0.185213,0.164213
0.5,0.333221,0.336747,0.178462,0.15157
0.6,0.338233,0.347174,0.175039,0.139553
0.7,0.338393,0.36045,0.17173,0.129427
0.8,0.33754,0.368969,0.172177,0.121315
0.9,0.335643,0.376551,0.174059,0.113747
1.0,0.332647,0.386622,0.175084,0.105647
1.1,0.326522,0.391629,0.178841,0.103008
1.2,0.328759,0.389042,0.185795,0.096404
1.3,0.326223,0.392985,0.189695,0.091097
1.4,0.320029,0.39518,0.195753,0.089037
1.5,0.314796,0.394607,0.2038,0.086798
1.6,0.306422,0.394189,0.213597,0.085792
1.7,0.298257,0.396772,0.218873,0.086097
1.8,0.291687,0.393055,0.22869,0.086569
1.9,0.283481,0.390989,0.237251,0.088279
2.0,0.277856,0.384394,0.249388,0.088362
2.1,0.271322,0.378128,0.261849,0.088701
2.2,0.262165,0.373943,0.273066,0.090826
2.3,0.255061,0.368207,0.285695,0.091037
2.4,0.248618,0.360541,0.299649,0.091192
2.5,0.24375,0.347106,0.317371,0.091772
2.6,0.234475,0.340213,0.329581,0.09573
2.7,0.227235,0.329675,0.34599,0.0971
2.8,0.222263,0.318531,0.36262,0.096586
2.9,0.214991,0.310507,0.377165,0.097337
3.0,0.206986,0.301118,0.392136,0.09976
3.1,0.199107,0.294398,0.40323,0.103265
3.2,0.190447,0.287169,0.415774,0.106609
3.3,0.184492,0.276756,0.429609,0.109144
3.4,0.17727,0.271349,0.439284,0.112097
3.5,0.171285,0.264482,0.448982,0.115251
3.6,0.164827,0.257744,0.459639,0.117789
3.7,0.158228,0.251946,0.467938,0.121888
3.8,0.151704,0.243808,0.478637,0.125851
3.9,0.145339,0.234734,0.48987,0.130057
4.0,0.138642,0.226905,0.499877,0.134576
4.1,0.133939,0.21789,0.51105,0.137122
4.2,0.127248,0.210902,0.521149,0.140702
4.3,0.121613,0.204578,0.528694,0.145114
4.4,0.11716,0.196793,0.538752,0.147294
4.5,0.11286,0.19019,0.547728,0.149223
4.6,0.109147,0.184275,0.555036,0.151542
4.7,0.104294,0.179368,0.560917,0.155421
4.8,0.100757,0.173499,0.568261,0.157483
4.9,0.097815,0.167993,0.575348,0.158843
5.0,0.095041,0.163867,0.580114,0.160978
5.1,0.092218,0.16036,0.584817,0.162605
5.2,0.089667,0.154538,0.591266,0.164528
5.3,0.08795,0.149231,0.59692,0.165899
5.4,0.086146,0.144861,0.602567,0.166426
5.5,0.083155,0.14106,0.607291,0.168493
5.6,0.081151,0.136931,0.612922,0.168996
5.7,0.07961,0.133306,0.617043,0.170041
5.8,0.077999,0.130031,0.621975,0.169995
5.9,0.077175,0.126592,0.625864,0.170369
6.0,0.076083,0.124404,0.628285,0.171228
6.1,0.074605,0.121496,0.631903,0.171996
6.2,0.072993,0.118776,0.635895,0.172336
6.3,0.071631,0.116225,0.639273,0.172871
6.4,0.07026,0.113602,0.642138,0.174001
6.5,0.069432,0.111955,0.644401,0.174211
6.6,0.068704,0.110182,0.647149,0.173965
6.7,0.067682,0.108765,0.649113,0.174441
6.8,0.066116,0.106829,0.651603,0.175452
6.9,0.065388,0.105533,0.654146,0.174933
7.0,0.064321,0.103536,0.656373,0.17577
7.1,0.062873,0.102496,0.65717,0.177461
7.2,0.061932,0.101002,0.658826,0.17824
7.3,0.061248,0.099641,0.659762,0.179348
7.4,0.0601,0.097962,0.66165,0.180288
7.5,0.059225,0.097749,0.6619,0.181125
7.6,0.058134,0.098226,0.661735,0.181905
7.7,0.056879,0.097521,0.663296,0.182304
7.8,0.05547,0.096731,0.664329,0.183469
7.9,0.055363,0.095532,0.665508,0.183597
8.0,0.055245,0.095098,0.666259,0.183398
8.1,0.0547,0.094362,0.667109,0.183829
8.2,0.054081,0.093895,0.667709,0.184315
8.3,0.05383,0.092959,0.669147,0.184065
8.4,0.054097,0.092023,0.670177,0.183703
8.5,0.054462,0.091361,0.671123,0.183053
8.6,0.054366,0.091093,0.671905,0.182636
8.7,0.054069,0.090731,0.672595,0.182605
8.8,0.053963,0.089897,0.673356,0.182783
8.9,0.053693,0.090048,0.673119,0.18314
9.0,0.0536,0.090083,0.673049,0.183268
9.1,0.0536,0.09,0.6732,0.1832
9.2,0.053462,0.089642,0.673676,0.18322
9.3,0.0534,0.089101,0.674299,0.1832
9.4,0.052939,0.088833,0.674736,0.183493
9.5,0.0528,0.0888,0.6748,0.1836
9.6,0.052433,0.088467,0.675237,0.183863
9.7,0.052377,0.088121,0.675679,0.183823
9.8,0.052137,0.088156,0.675532,0.184175
9.9,0.052,0.087663,0.676141,0.184197
10.0,0.051865,0.0872,0.676639,0.184296
10.1,0.051694,0.087118,0.676682,0.184506
10.2,0.051279,0.086765,0.677139,0.184816
10.3,0.0508,0.086806,0.677361,0.185033
10.4,0.0508,0.0868,0.6776,0.1848
10.5,0.050739,0.086827,0.677573,0.184861
10.6,0.050406,0.087,0.6774,0.185194
10.7,0.0504,0.086885,0.677515,0.1852
10.8,0.050401,0.0868,0.6776,0.185199
10.9,0.0506,0.086807,0.677593,0.185
11.0,0.05047,0.086932,0.677598,0.185
11.1,0.050388,0.086805,0.677759,0.185049
11.2,0.0504,0.086634,0.677966,0.185
11.3,0.0504,0.086168,0.678432,0.185
11.4,0.0504,0.085985,0.678615,0.185
11.5,0.050585,0.085416,0.678999,0.185
11.6,0.0506,0.0854,0.679,0.185
11.7,0.0506,0.085591,0.678809,0.185
11.8,0.050677,0.085523,0.6788,0.185
11.9,0.0508,0.0854,0.6788,0.185
12.0,0.050621,0.0854,0.6788,0.185179
12.1,0.0506,0.085393,0.678807,0.1852
12.2,0.0506,0.0852,0.679,0.1852
12.3,0.0506,0.085357,0.678843,0.1852
12.4,0.050444,0.085345,0.678855,0.185356
12.5,0.0504,0.0852,0.679,0.1854
12.6,0.0504,0.085016,0.679184,0.1854
12.7,0.0504,0.085,0.6792,0.1854
12.8,0.050341,0.085,0.6792,0.185459
12.9,0.0502,0.085,0.6792,0.1856
13.0,0.050244,0.085045,0.679112,0.1856
13.1,0.05033,0.085,0.679006,0.185664
13.2,0.0502,0.085,0.6792,0.1856
13.3,0.0502,0.085,0.6792,0.1856
13.4,0.0502,0.085111,0.679089,0.1856
13.5,0.0502,0.085115,0.679085,0.1856
13.6,0.0502,0.0848,0.6794,0.1856
13.7,0.0502,0.0848,0.6794,0.1856
13.8,0.0502,0.0848,0.6794,0.1856
13.9,0.0502,0.0848,0.6794,0.1856
14.0,0.0502,0.0848,0.6794,0.1856
14.1,0.0502,0.0848,0.6794,0.1856
14.2,0.0502,0.0848,0.6794,0.1856
14.3,0.0502,0.0848,0.6794,0.1856
14.4,0.0502,0.0848,0.6794,0.1856
14.5,0.0502,0.0848,0.6794,0.1856
14.6,0.0502,0.0848,0.6794,0.1856
14.7,0.0502,0.0848,0.6794,0.1856
