,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
0.0,0.262781,0.260119,0.238351,0.23875
0.1,0.284567,0.275179,0.223568,0.216686
0.2,0.301084,0.291367,0.20877,0.19878
0.3,0.313955,0.307087,0.198652,0.180306
0.4,0.323168,0.319129,0.19112,0.166582
0.5,0.32569,0.329917,0.187434,0.156959
0.6,0.328401,0.341733,0.184154,0.145711
0.7,0.331143,0.350263,0.184163,0.134431
0.8,0.334573,0.354409,0.184183,0.126835
0.9,0.332167,0.359512,0.187318,0.121003
1.0,0.328851,0.364009,0.191568,0.115572
1.1,0.32551,0.367665,0.196362,0.110464
1.2,0.325017,0.367119,0.204367,0.103498
1.3,0.321155,0.369216,0.209691,0.099938
1.4,0.318873,0.36717,0.219201,0.094756
1.5,0.311737,0.368167,0.227499,0.092597
1.6,0.307204,0.369457,0.234224,0.089114
1.7,0.302538,0.367423,0.244183,0.085856
1.8,0.294805,0.363559,0.257207,0.084429
1.9,0.287596,0.360938,0.266468,0.084998
2.0,0.280466,0.357401,0.274133,0.088
2.1,0.271464,0.351944,0.286868,0.089725
2.2,0.265097,0.349225,0.298587,0.087091
2.3,0.258349,0.341942,0.312866,0.086842
2.4,0.249793,0.337054,0.325008,0.088145
2.5,0.24444,0.32715,0.339062,0.089349
2.6,0.237545,0.320577,0.350709,0.091169
2.7,0.233045,0.312785,0.363251,0.090919
2.8,0.225804,0.308403,0.373814,0.091979
2.9,0.218049,0.30512,0.384219,0.092612
3.0,0.211539,0.298802,0.395129,0.09453
3.1,0.207277,0.292918,0.40471,0.095096
3.2,0.201617,0.283948,0.417649,0.096786
3.3,0.197849,0.2742,0.430425,0.097526
3.4,0.192048,0.268182,0.441022,0.098749
3.5,0.186664,0.263858,0.448925,0.100553
3.6,0.181263,0.257611,0.459391,0.101734
3.7,0.177211,0.252628,0.468696,0.101464
3.8,0.17236,0.247892,0.476894,0.102853
3.9,0.167818,0.242304,0.486537,0.103341
4.0,0.164659,0.234619,0.497286,0.103436
4.1,0.162837,0.227198,0.505149,0.104816
4.2,0.159482,0.222538,0.512204,0.105777
4.3,0.155467,0.216207,0.519426,0.108901
4.4,0.151883,0.20959,0.52841,0.110117
4.5,0.148233,0.204909,0.534742,0.112116
4.6,0.143168,0.200486,0.543696,0.11265
4.7,0.14018,0.195782,0.54992,0.114119
4.8,0.137879,0.191068,0.555861,0.115192
4.9,0.13618,0.187248,0.560059,0.116513
5.0,0.133844,0.182999,0.564215,0.118942
5.1,0.128759,0.181042,0.568346,0.121853
5.2,0.12479,0.178369,0.572312,0.124529
5.3,0.121218,0.174885,0.576657,0.12724
5.4,0.118707,0.169965,0.582651,0.128677
5.5,0.116774,0.16668,0.586741,0.129805
5.6,0.114754,0.164914,0.589878,0.130455
5.7,0.112551,0.161997,0.593541,0.131911
5.8,0.110885,0.159265,0.596868,0.132982
5.9,0.109578,0.156972,0.599721,0.133729
6.0,0.107813,0.154683,0.602307,0.135197
6.1,0.105824,0.153594,0.60445,0.136132
6.2,0.103996,0.151409,0.607388,0.137207
6.3,0.103294,0.148704,0.610075,0.137927
6.4,0.100696,0.145375,0.613589,0.140339
6.5,0.098277,0.143191,0.616003,0.142529
6.6,0.09703,0.139927,0.619042,0.144
6.7,0.095604,0.13641,0.622607,0.145379
6.8,0.094991,0.133446,0.62568,0.145883
6.9,0.093454,0.132563,0.627141,0.146842
7.0,0.091639,0.132055,0.627751,0.148554
7.1,0.090548,0.13,0.629524,0.149928
7.2,0.089124,0.128361,0.63145,0.151065
7.3,0.087244,0.127785,0.632522,0.15245
7.4,0.085743,0.126685,0.633823,0.15375
7.5,0.084967,0.125097,0.635303,0.154633
7.6,0.083586,0.123589,0.636709,0.156116
7.7,0.082031,0.122473,0.638183,0.157313
7.8,0.080581,0.121791,0.638894,0.158734
7.9,0.079405,0.121123,0.639718,0.159754
8.0,0.078121,0.120389,0.640604,0.160886
8.1,0.077375,0.119123,0.642125,0.161377
8.2,0.076412,0.118519,0.643072,0.161996
8.3,0.075397,0.117574,0.644155,0.162874
8.4,0.07433,0.117666,0.64437,0.163635
8.5,0.073694,0.117091,0.645109,0.164106
8.6,0.072852,0.115752,0.646334,0.165062
8.7,0.071584,0.114896,0.647249,0.166271
8.8,0.070585,0.11341,0.649064,0.166941
8.9,0.069795,0.112731,0.649669,0.167805
9.0,0.068457,0.111946,0.650454,0.169143
9.1,0.067278,0.111128,0.651301,0.170293
9.2,0.067078,0.110203,0.652548,0.170171
9.3,0.066597,0.10889,0.65371,0.170803
9.4,0.06625,0.107542,0.655058,0.17115
9.5,0.065542,0.106396,0.656204,0.171858
9.6,0.0652,0.106107,0.656493,0.1722
9.7,0.064554,0.10561,0.657164,0.172673
9.8,0.063509,0.105273,0.657727,0.173491
9.9,0.062621,0.104473,0.6586,0.174306
10.0,0.062219,0.103525,0.659475,0.174781
10.1,0.061785,0.10301,0.65999,0.175215
10.2,0.061581,0.102439,0.660561,0.175419
10.3,0.061038,0.101848,0.661152,0.175962
10.4,0.060268,0.101528,0.661472,0.176732
10.5,0.059642,0.100949,0.662051,0.177358
10.6,0.059155,0.100621,0.662379,0.177845
10.7,0.058863,0.100279,0.662721,0.178137
10.8,0.058448,0.099484,0.663516,0.178552
10.9,0.057668,0.099082,0.663918,0.179332
11.0,0.057051,0.099058,0.663942,0.179949
11.1,0.056825,0.09853,0.664445,0.1802
