,<nil>,Apoptosis,Metastasis,Metastasis -- Apoptosis,Proliferation,Proliferation -- Apoptosis,Proliferation -- Metastasis,Proliferation -- Metastasis -- Apoptosis
0.0,0.136541,0.12368,0.138378,0.12436,0.121337,0.119195,0.120775,0.115735
0.1,0.156881,0.128051,0.156998,0.122773,0.11798,0.101601,0.117691,0.098026
0.2,0.180316,0.126953,0.173288,0.120499,0.11334,0.089084,0.112769,0.08375
0.3,0.199557,0.126304,0.186661,0.116384,0.108012,0.079722,0.111544,0.071816
0.4,0.215198,0.128062,0.203848,0.110545,0.103188,0.071691,0.107561,0.059908
0.5,0.227558,0.127259,0.222099,0.105615,0.101139,0.063023,0.104498,0.048809
0.6,0.242207,0.130999,0.233638,0.097124,0.095242,0.055115,0.102824,0.04285
0.7,0.255718,0.129242,0.241889,0.092892,0.092806,0.047864,0.10058,0.039008
0.8,0.2679,0.129831,0.251561,0.087007,0.090062,0.042726,0.097216,0.033697
0.9,0.278836,0.131763,0.258463,0.082271,0.085893,0.038548,0.095081,0.029145
1.0,0.291732,0.130969,0.264758,0.076611,0.084217,0.034998,0.091049,0.025667
1.1,0.308186,0.129622,0.265772,0.072052,0.08138,0.031457,0.088382,0.02315
1.2,0.321907,0.131017,0.268503,0.065847,0.080838,0.027114,0.084029,0.020746
1.3,0.335216,0.132005,0.267792,0.062784,0.079538,0.023955,0.079903,0.018806
1.4,0.347639,0.130285,0.26718,0.059162,0.081615,0.021819,0.075613,0.016688
1.5,0.36682,0.127842,0.262877,0.056024,0.07922,0.021247,0.072095,0.013874
1.6,0.381502,0.127404,0.260125,0.053228,0.075922,0.021148,0.068873,0.011798
1.7,0.396373,0.126237,0.256647,0.049231,0.072929,0.020647,0.067357,0.010577
1.8,0.409719,0.129321,0.2531,0.04314,0.071542,0.018738,0.065247,0.009194
1.9,0.422561,0.13045,0.248472,0.039203,0.070007,0.017312,0.063899,0.008094
2.0,0.436727,0.131096,0.243225,0.036364,0.070403,0.015873,0.059508,0.006804
2.1,0.450612,0.134063,0.235427,0.032845,0.070628,0.013806,0.05705,0.005569
2.2,0.467952,0.135488,0.227176,0.030356,0.068817,0.012625,0.053205,0.004381
2.3,0.48373,0.13495,0.222076,0.027149,0.0657,0.012786,0.050022,0.003587
2.4,0.496001,0.133179,0.216909,0.026015,0.064499,0.01371,0.046495,0.003191
2.5,0.50723,0.13271,0.2113,0.024797,0.06524,0.013333,0.042374,0.003015
2.6,0.517313,0.135355,0.204028,0.022984,0.066802,0.012395,0.038289,0.002835
2.7,0.530859,0.137812,0.194859,0.020637,0.066269,0.011364,0.035942,0.002259
2.8,0.542198,0.14063,0.188667,0.018801,0.065197,0.009888,0.032423,0.002196
