,<nil>,Apoptosis,Apoptosis -- Metastasis,Apoptosis -- Metastasis -- Proliferation,Apoptosis -- Proliferation,Metastasis,Metastasis -- Proliferation,Proliferation
0.0,0.135966,0.1259,0.124228,0.115265,0.116018,0.133029,0.124467,0.125128
0.1,0.157265,0.127299,0.125172,0.095485,0.098764,0.152054,0.12058,0.12338
0.2,0.177015,0.127598,0.121451,0.082497,0.084198,0.168495,0.116222,0.122525
0.3,0.196138,0.128417,0.117044,0.071314,0.071108,0.185153,0.111852,0.118972
0.4,0.214494,0.128653,0.110974,0.062334,0.061741,0.198867,0.1106,0.112338
0.5,0.232926,0.131206,0.105189,0.054916,0.055432,0.20881,0.106076,0.105445
0.6,0.247936,0.130237,0.101055,0.046766,0.051286,0.219973,0.103625,0.099122
0.7,0.261193,0.130289,0.095706,0.040473,0.044039,0.230905,0.101802,0.095592
0.8,0.272001,0.127351,0.08891,0.033371,0.039118,0.244718,0.102369,0.092161
0.9,0.282609,0.129184,0.082611,0.028545,0.035931,0.254133,0.098264,0.088723
1.0,0.293604,0.129888,0.074958,0.022804,0.03397,0.259932,0.097574,0.087269
1.1,0.30776,0.130957,0.06808,0.020171,0.030334,0.263993,0.093022,0.085683
1.2,0.319607,0.132162,0.063738,0.017909,0.027699,0.267163,0.08701,0.084712
1.3,0.33554,0.131897,0.058979,0.015554,0.025218,0.26873,0.082755,0.081328
1.4,0.352327,0.13006,0.054202,0.012584,0.023869,0.269898,0.078195,0.078864
1.5,0.368565,0.131719,0.049006,0.011449,0.02127,0.267262,0.074626,0.076102
1.6,0.384813,0.133342,0.044202,0.010615,0.018971,0.264032,0.071123,0.072901
1.7,0.40045,0.133062,0.0405,0.0099,0.016838,0.259728,0.067456,0.072065
1.8,0.416092,0.132964,0.037582,0.007871,0.015607,0.254678,0.065076,0.070129
1.9,0.429599,0.134366,0.034304,0.007378,0.014684,0.250284,0.061601,0.067784
2.0,0.441586,0.135316,0.031055,0.006721,0.013122,0.246036,0.058218,0.067945
2.1,0.452676,0.135676,0.028369,0.006477,0.011996,0.241599,0.054301,0.068907
2.2,0.46672,0.135989,0.028231,0.005966,0.01067,0.232381,0.050259,0.069785
2.3,0.483591,0.134625,0.027163,0.00556,0.009521,0.22429,0.047171,0.068078
2.4,0.500061,0.135024,0.023971,0.005019,0.008389,0.214475,0.045881,0.06718
2.5,0.515376,0.134648,0.021939,0.004693,0.008191,0.20437,0.042914,0.067868
2.6,0.525503,0.135396,0.021573,0.004071,0.008397,0.19702,0.040474,0.067567
2.7,0.535319,0.136578,0.020461,0.003408,0.008649,0.189688,0.038511,0.067386
2.8,0.547899,0.13553,0.020135,0.002579,0.008093,0.18235,0.037763,0.065651
2.9,0.56158,0.134923,0.018068,0.002496,0.006944,0.176911,0.035088,0.06399
3.0,0.575594,0.134898,0.015907,0.002267,0.006524,0.169557,0.03219,0.063063
3.1,0.587475,0.138218,0.014565,0.00194,0.005883,0.160664,0.030342,0.060913
3.2,0.596414,0.140355,0.014693,0.001806,0.005495,0.152191,0.028497,0.060548
3.3,0.607619,0.13897,0.014044,0.00165,0.004944,0.146069,0.025898,0.060806
3.4,0.619956,0.138259,0.013176,0.001268,0.00519,0.138597,0.024279,0.059275
3.5,0.62756,0.141705,0.011818,0.001,0.00496,0.131573,0.022372,0.059012
3.6,0.634188,0.143459,0.011179,0.001,0.004759,0.127284,0.020033,0.058098
3.7,0.643728,0.142438,0.011162,0.001,0.004298,0.122196,0.018275,0.056903
3.8,0.656977,0.140908,0.011074,0.000798,0.003549,0.114193,0.017347,0.055154
3.9,0.667762,0.139831,0.011402,0.000365,0.003581,0.106798,0.016447,0.053813
4.0,0.674644,0.140058,0.012013,0.0002,0.003077,0.100851,0.015349,0.053807
4.1,0.682532,0.14053,0.0111,0.0002,0.002867,0.095525,0.014062,0.053184
4.2,0.689369,0.140368,0.010297,0.0002,0.002655,0.091219,0.012922,0.052969
4.3,0.694577,0.142721,0.009066,0.0002,0.00207,0.08718,0.012039,0.052148
4.4,0.700952,0.143465,0.007824,0.0002,0.001771,0.083261,0.011151,0.051376
