,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
0.0,0.261601,0.260038,0.238807,0.239555
0.1,0.284359,0.279505,0.215544,0.220592
0.2,0.302517,0.29537,0.19756,0.204553
0.3,0.315981,0.312926,0.185054,0.186039
0.4,0.323805,0.329242,0.175502,0.171452
0.5,0.33404,0.342853,0.166172,0.156935
0.6,0.343171,0.353184,0.161394,0.142251
0.7,0.348565,0.364655,0.156764,0.130016
0.8,0.354938,0.373299,0.152637,0.119126
0.9,0.355618,0.386212,0.150194,0.107976
1.0,0.358572,0.39228,0.149141,0.100007
1.1,0.36339,0.393239,0.149696,0.093676
1.2,0.361909,0.398302,0.151329,0.08846
1.3,0.358882,0.400677,0.154874,0.085567
1.4,0.35526,0.401413,0.159163,0.084164
1.5,0.348925,0.405851,0.161989,0.083235
1.6,0.340914,0.408132,0.167293,0.08366
1.7,0.332196,0.410081,0.172455,0.085268
1.8,0.327565,0.405653,0.182908,0.083874
1.9,0.323128,0.403408,0.191267,0.082196
2.0,0.318315,0.400893,0.198814,0.081978
2.1,0.315595,0.395722,0.207514,0.081168
2.2,0.307905,0.393039,0.217297,0.08176
2.3,0.301495,0.388566,0.226268,0.083671
2.4,0.294798,0.384478,0.23464,0.086085
2.5,0.286163,0.3792,0.246349,0.088289
2.6,0.280875,0.373893,0.25634,0.088891
2.7,0.272818,0.368322,0.267958,0.090902
2.8,0.264378,0.365632,0.277101,0.092889
2.9,0.256197,0.359298,0.288417,0.096088
3.0,0.247899,0.350298,0.302208,0.099595
3.1,0.239512,0.340942,0.314942,0.104604
3.2,0.232024,0.335461,0.324336,0.108179
3.3,0.227427,0.329213,0.334452,0.108909
3.4,0.219676,0.323933,0.344239,0.112152
3.5,0.212353,0.315929,0.355335,0.116383
3.6,0.20673,0.306654,0.366071,0.120544
3.7,0.200821,0.29801,0.376338,0.12483
3.8,0.196155,0.290731,0.385318,0.127796
3.9,0.190349,0.282751,0.395627,0.131273
4.0,0.183941,0.275861,0.404964,0.135234
4.1,0.177365,0.269176,0.414527,0.138932
4.2,0.169282,0.26409,0.423475,0.143152
4.3,0.163413,0.258977,0.43152,0.14609
4.4,0.158261,0.254943,0.439982,0.146814
4.5,0.154341,0.248144,0.448671,0.148844
4.6,0.150959,0.240926,0.457695,0.15042
4.7,0.148618,0.235126,0.465473,0.150783
4.8,0.145272,0.22999,0.472547,0.152191
4.9,0.142765,0.226542,0.476896,0.153797
5.0,0.139847,0.222757,0.482253,0.155144
